# {"t_start": 1745264905.2853973, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-36.0,50,0.984955
-50.0,50,2.901752
-50.0,50,4.018555
-50.0,50,4.995507
-50.0,50,5.965902
-50.0,50,6.944741
-50.0,50,7.920086
-50.0,50,8.911197
-50.0,50,9.896318
0.0,50,10.876784
-50.0,50,11.977663
-50.0,50,12.066615
-50.0,50,12.152809
-50.0,50,12.231392
-50.0,50,12.314146
-50.0,50,12.392473
-50.0,50,12.472704
-50.0,50,12.561427
-50.0,50,12.643803
-50.0,50,12.723874
-50.0,50,12.816122
-50.0,50,13.825324
-50.0,50,14.82067
-50.0,50,15.830488
-50.0,50,16.833169
-50.0,50,17.864749
-50.0,50,18.872471
-50.0,50,19.892629
-50.0,50,20.923844
-50.0,50,21.945939
-50.0,50,23.007112
-50.0,50,23.087048
-50.0,50,23.169429
-50.0,50,23.259603
-50.0,50,23.336477
-50.0,50,23.420929
-50.0,50,23.519846
-50.0,50,23.612167
-50.0,50,23.690685
-50.0,50,23.77306
-50.0,50,23.847833
-50.0,50,24.872465
-50.0,50,25.90777
-50.0,50,26.957851
-50.0,50,27.991581
-50.0,50,29.033229
-50.0,50,30.07328
0.0,50,31.124593
-50.0,50,32.193452
-50.0,50,33.255649
-50.0,50,34.370045
-50.0,50,34.462044
-50.0,50,34.553293
-50.0,50,34.633168
-50.0,50,34.713705
-50.0,50,34.793275
-50.0,50,34.881434
-50.0,50,34.968591
-50.0,50,35.051081
-50.0,50,35.141723
-50.0,50,35.224609
-50.0,50,36.285306
-50.0,50,37.35721
-50.0,50,38.411824
-50.0,50,39.472847
-13.0,50,40.529639
-50.0,50,41.599067
-50.0,50,42.667928
-50.0,50,43.761047
-50.0,50,45.048739
-50.0,50,46.45039
-50.0,50,46.564161
-50.0,50,46.677177
-50.0,50,46.793007
-50.0,50,46.91344
-50.0,50,47.020518
-50.0,50,47.129966
0.0,50,47.237194
-50.0,50,47.338873
-50.0,50,47.437109
-50.0,50,47.526111
-50.0,50,48.864079
-50.0,50,50.272802
-50.0,50,51.667636
-50.0,50,53.044313
-50.0,50,54.445212
-50.0,50,55.815371
-50.0,50,57.1897
-50.0,50,58.556585
-50.0,50,59.913298
-50.0,50,61.279922
0.0,50,61.391672
-50.0,50,61.508166
-50.0,50,61.602131
-50.0,50,61.698027
-50.0,50,61.7907
-50.0,50,61.971999
-50.0,50,62.06068
-50.0,50,62.148616
-50.0,50,62.240301
-50.0,50,62.322016
-50.0,50,63.700038
-50.0,50,65.020673
-50.0,50,66.394241
-50.0,50,67.706754
-50.0,50,69.003757
-50.0,50,70.286059
-50.0,50,72.469606
-50.0,50,75.015643
-50.0,50,76.46007
-50.0,50,79.031687
-50.0,50,79.143306
-50.0,50,79.2547
-50.0,50,79.373689
-50.0,50,79.493175
-50.0,50,79.615781
-50.0,50,79.726075
-50.0,50,80.048849
-50.0,50,80.279102
-50.0,50,80.492207
-50.0,50,80.602816
-50.0,50,82.507629
-50.0,50,83.949078
-50.0,50,85.487394
-50.0,50,86.933896
-50.0,50,89.103841
-50.0,50,90.784036
-50.0,50,92.640819
-50.0,50,94.158928
0.0,50,95.635305
-50.0,50,97.149873
-50.0,50,97.280828
-50.0,50,97.410095
-50.0,50,97.523224
-50.0,50,97.644587
-50.0,50,97.759253
-50.0,50,97.879492
-50.0,50,97.992431
-50.0,50,98.120673
-50.0,50,98.226376
-50.0,50,98.325236
-50.0,50,99.756339
-50.0,50,101.198247
-50.0,50,102.669557
-50.0,50,104.164138
-50.0,50,105.604233
-50.0,50,107.454403
-50.0,50,109.04228
-50.0,50,110.525314
-50.0,50,112.849104
-50.0,50,114.414762
-50.0,50,114.549073
-50.0,50,114.665164
-50.0,50,114.792769
-50.0,50,114.911561
0.0,50,115.020993
-50.0,50,115.13787
-50.0,50,115.25584
-50.0,50,115.375391
-50.0,50,115.491224
-50.0,50,115.594733
-50.0,50,117.024749
-50.0,50,118.478835
-50.0,50,120.117437
-50.0,50,122.254038
-50.0,50,123.729804
-50.0,50,125.154182
-50.0,50,126.581674
-50.0,50,128.110363
-50.0,50,129.544363
-50.0,50,130.997594
-50.0,50,131.110997
-50.0,50,131.21791
-50.0,50,131.320714
-50.0,50,131.421098
-50.0,50,131.518179
-50.0,50,131.617163
-50.0,50,131.714453
-50.0,50,131.81709
-50.0,50,131.925034
-50.0,50,132.010484
-50.0,50,133.435192
-50.0,50,135.536326
-50.0,50,136.950015
-50.0,50,138.363985
-50.0,50,139.758236
-50.0,50,141.235436
-50.0,50,142.679909
-50.0,50,144.276263
-50.0,50,146.124059
-50.0,50,147.64781
-50.0,50,147.821115
-50.0,50,147.9502
-50.0,50,148.113643
-50.0,50,148.431335
-50.0,50,148.534448
-50.0,50,148.63724
-50.0,50,148.733702
-50.0,50,148.833714
-50.0,50,148.926392
-50.0,50,149.013358
-50.0,50,150.714566
-50.0,50,152.415832
-50.0,50,153.984886
-50.0,50,156.044215
-50.0,50,157.577826
-50.0,50,159.028283
-50.0,50,160.494434
-50.0,50,162.057636
-50.0,50,163.736361
-50.0,50,165.172817
-50.0,50,165.27969
-50.0,50,165.395118
-50.0,50,165.50918
-50.0,50,165.61468
-50.0,50,165.710648
-50.0,50,165.808159
-50.0,50,165.903152
-50.0,50,165.999748
-50.0,50,166.090884
-50.0,50,166.17434
-50.0,50,167.542481
-50.0,50,168.974456
-50.0,50,170.353866
-50.0,50,171.759914
-50.0,50,173.143186
-50.0,50,174.553462
-50.0,50,175.959459
0.0,50,177.371788
-50.0,50,178.919498
-50.0,50,180.333561
-50.0,50,180.434451
0.0,50,180.533388
-50.0,50,180.628295
-50.0,50,180.727561
-50.0,50,180.818559
-50.0,50,180.909668
-50.0,50,181.000937
0.0,50,181.088489
-50.0,50,181.178673
-50.0,50,181.26897
0.0,50,182.736809
-50.0,50,184.151822
-50.0,50,185.540069
-50.0,50,186.926184
-50.0,50,188.329828
-50.0,50,189.723801
-50.0,50,191.12781
-50.0,50,192.527961
-50.0,50,193.949807
-50.0,50,195.36051
-50.0,50,195.462496
-50.0,50,195.558178
-50.0,50,195.668245
-50.0,50,195.783674
0.0,50,195.87213
-50.0,50,195.984909
-50.0,50,196.072476
-50.0,50,196.162429
-50.0,50,196.25285
-50.0,50,196.338102
-50.0,50,197.6862
-50.0,50,199.087306
-50.0,50,200.489367
