epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.84957504,0.098367155,0.20592667,0.06313856,10.0,-1.0503181,0.0,10.0,0.1
1,0.84712577,0.10345166,0.20579432,0.059636537,20.0,-1.5109355,0.0,20.0,0.0
2,0.84775454,0.10553098,0.20548382,0.05808406,30.0,-1.5096457,0.0,30.0,0.1
3,0.84817743,0.104260035,0.20512086,0.057623323,40.0,-2.0273058,0.1,40.0,0.0
4,0.8473668,0.10613725,0.20482402,0.057119742,50.0,-2.3973968,0.1,50.0,0.0
5,0.8472344,0.10473731,0.20489866,0.056498002,60.0,-2.9020927,0.0,60.0,0.0
6,0.84608656,0.10588145,0.20465532,0.056387555,70.0,-3.2439322,0.0,70.0,0.1
7,0.8451183,0.10510117,0.20427677,0.05578707,80.0,-3.4507308,0.1,80.0,0.0
8,0.84618694,0.103877276,0.20453387,0.05528505,90.0,-4.7352495,0.0,90.0,0.0
9,0.8459237,0.103017874,0.20454986,0.054878496,100.0,-4.692815,0.0,100.0,0.0
10,0.84561014,0.103785954,0.20436676,0.05467967,110.0,-4.297565,0.0,110.0,0.0
11,0.8455286,0.10507589,0.20430368,0.05460089,120.0,-4.357457,0.2,120.0,0.1
12,0.844677,0.104600154,0.20416446,0.054412354,130.0,-4.4911375,0.1,130.0,0.1
13,0.8445556,0.104989074,0.20415863,0.054567102,140.0,-5.654985,0.1,140.0,0.0
14,0.8450959,0.10653248,0.20414184,0.054542318,150.0,-6.001193,0.1,150.0,0.0
15,0.84545654,0.10679493,0.20423037,0.054476723,160.0,-5.857812,0.0,160.0,0.0
16,0.84644467,0.106624044,0.20452227,0.05464177,170.0,-7.725006,0.0,170.0,0.1
17,0.8466318,0.10611159,0.204525,0.054670453,180.0,-7.2648406,0.1,180.0,0.0
18,0.84693885,0.106425285,0.20454878,0.054386955,190.0,-7.657426,0.0,190.0,0.0
19,0.84722924,0.10747278,0.20461941,0.054702397,200.0,-8.21,0.0,200.0,0.1
20,0.8481892,0.106742464,0.20495088,0.055097148,210.0,-7.226639,0.0,210.0,0.0
21,0.8480111,0.1068022,0.20488071,0.05492899,220.0,-8.846217,0.0,220.0,0.1
22,0.8477578,0.107179284,0.20475504,0.055032838,230.0,-9.382347,0.0,230.0,0.0
23,0.8482626,0.10753726,0.20484218,0.055032913,240.0,-9.526041,0.0,240.0,0.0
24,0.84781265,0.10744119,0.20461482,0.05846496,250.0,-9.548632,0.0,250.0,0.0
25,0.84809333,0.108380616,0.2046634,0.058347035,260.0,-11.127595,0.0,260.0,0.0
26,0.8473912,0.10842315,0.2044474,0.059076358,270.0,-10.686264,0.0,270.0,0.0
27,0.84751916,0.10836133,0.20439157,0.05878454,280.0,-7.0828795,0.2,280.0,0.0
28,0.84725887,0.10826578,0.20433795,0.058521505,290.0,-9.672147,0.2,290.0,0.0
29,0.84741783,0.10864159,0.204326,0.05845435,300.0,-10.817793,0.0,300.0,0.0
30,0.8474831,0.108623415,0.20433642,0.058491874,310.0,-10.826002,0.0,310.0,0.1
31,0.8471777,0.10858988,0.20426716,0.058429427,320.0,-13.137093,0.0,320.0,0.1
32,0.8471356,0.10828996,0.20426326,0.058510676,330.0,-13.438306,0.0,330.0,0.1
33,0.84702617,0.10861913,0.2041967,0.058861267,340.0,-10.928513,0.1,340.0,0.0
34,0.84697765,0.10858055,0.20418575,0.058790542,350.0,-13.853117,0.0,350.0,0.0
35,0.8467433,0.10906196,0.20407479,0.06030409,360.0,-13.234007,0.0,360.0,0.0
36,0.84663707,0.109537125,0.20400572,0.060204044,370.0,-13.456289,0.0,370.0,0.0
37,0.8464067,0.10987219,0.20395632,0.06011473,380.0,-15.030472,0.0,380.0,0.0
38,0.84630305,0.10960356,0.20392899,0.060124654,390.0,-13.570444,0.0,390.0,0.2
39,0.8461593,0.10966116,0.20391606,0.060126543,400.0,-15.499754,0.0,400.0,0.1
40,0.8458705,0.109703936,0.20383644,0.06050927,410.0,-15.766275,0.0,410.0,0.0
41,0.84519,0.10972044,0.20366183,0.060563102,420.0,-15.734593,0.0,420.0,0.0
42,0.84540004,0.10997067,0.20373283,0.060538057,430.0,-16.512157,0.0,430.0,0.0
43,0.84565926,0.11001522,0.20379244,0.060500517,440.0,-16.548721,0.0,440.0,0.0
44,0.8450467,0.10969303,0.20366435,0.06055509,450.0,-14.779007,0.0,450.0,0.2
45,0.8452218,0.11007931,0.20366079,0.060612246,460.0,-14.708443,0.1,460.0,0.0
46,0.8448598,0.109918706,0.20360816,0.060625564,470.0,-11.6167965,0.1,470.0,0.0
47,0.8445329,0.110014476,0.20351952,0.06056428,480.0,-14.208224,0.1,480.0,0.1
48,0.8447358,0.109966576,0.20349273,0.06335675,490.0,-16.857746,0.0,490.0,0.0
49,0.84497094,0.10986397,0.2035651,0.06332695,500.0,-17.4602,0.0,500.0,0.0
50,0.84490633,0.11045607,0.20354939,0.06361051,510.0,-16.80785,0.0,510.0,0.0
51,0.84526557,0.11075985,0.20366214,0.06377944,520.0,-15.752869,0.2,520.0,0.0
52,0.84527826,0.11073878,0.20366621,0.063654006,530.0,-17.606615,0.1,530.0,0.1
53,0.845151,0.11098063,0.20359406,0.063637435,540.0,-19.432266,0.0,540.0,0.1
54,0.8451743,0.111148566,0.20358638,0.06364822,550.0,-14.5881195,0.1,550.0,0.0
55,0.84486943,0.111231565,0.20352386,0.063762724,560.0,-17.094774,0.0,560.0,0.0
56,0.84450406,0.11218854,0.20346315,0.06777761,570.0,-15.475359,0.1,570.0,0.0
57,0.8447998,0.11221712,0.20353772,0.067691475,580.0,-19.802567,0.0,580.0,0.0
58,0.8446705,0.1129382,0.20350754,0.067946225,590.0,-21.78175,0.0,590.0,0.1
59,0.8444278,0.11299511,0.20344542,0.06790946,600.0,-14.947443,0.2,600.0,0.0
60,0.84467906,0.11308634,0.2034229,0.06926038,610.0,-19.255793,0.1,610.0,0.0
61,0.84442574,0.11278876,0.20339493,0.06911218,620.0,-19.701387,0.0,620.0,0.1
62,0.8445446,0.11284781,0.20341255,0.06919078,630.0,-21.646442,0.0,630.0,0.0
63,0.84466124,0.11273115,0.2033901,0.070113346,640.0,-19.078455,0.1,640.0,0.0
64,0.8445158,0.112872206,0.20337541,0.07016215,650.0,-21.376009,0.0,650.0,0.1
65,0.844527,0.11282555,0.20335284,0.07037346,660.0,-13.790606,0.2,660.0,0.0
66,0.8443509,0.11284989,0.20331341,0.07025242,670.0,-22.384815,0.0,670.0,0.1
67,0.84452367,0.11285195,0.20336524,0.0701214,680.0,-22.30244,0.0,680.0,0.1
68,0.8443919,0.11278442,0.20334797,0.07013421,690.0,-19.987467,0.1,690.0,0.0
69,0.84425163,0.11263099,0.20324844,0.07156581,700.0,-19.711868,0.1,700.0,0.0
70,0.84409213,0.113306485,0.20326321,0.07233381,710.0,-20.52692,0.0,710.0,0.0
71,0.84395313,0.11306872,0.2032267,0.07360373,720.0,-21.285564,0.1,720.0,0.1
72,0.8437337,0.112996556,0.20318395,0.07384426,730.0,-21.400492,0.0,730.0,0.0
73,0.8434984,0.11381608,0.20315339,0.075098656,740.0,-19.72548,0.1,740.0,0.1
74,0.8434515,0.113730185,0.20309228,0.07561634,750.0,-19.886396,0.0,750.0,0.1
75,0.8434493,0.11387473,0.20308898,0.07679899,760.0,-20.084116,0.0,760.0,0.0
76,0.8435366,0.11362782,0.20308718,0.07709562,770.0,-20.95861,0.0,770.0,0.1
77,0.84361124,0.11364854,0.20311967,0.076964304,780.0,-17.334517,0.1,780.0,0.0
78,0.84370184,0.113645196,0.20313561,0.07677793,790.0,-22.839478,0.1,790.0,0.0
79,0.84349155,0.11360133,0.20306858,0.07702397,800.0,-16.38438,0.3,800.0,0.0
80,0.8435715,0.11355561,0.20310046,0.07686579,810.0,-21.75085,0.1,810.0,0.1
81,0.84367114,0.11340145,0.20311892,0.07673006,820.0,-22.883015,0.0,820.0,0.2
82,0.84366816,0.11315771,0.20313662,0.07767806,830.0,-21.036541,0.1,830.0,0.0
83,0.84359664,0.11316147,0.20312852,0.07767604,840.0,-20.870113,0.1,840.0,0.1
84,0.8436851,0.11355275,0.2031834,0.079978265,850.0,-23.04002,0.0,850.0,0.1
85,0.8437634,0.11353267,0.20321083,0.08015603,860.0,-24.424606,0.0,860.0,0.0
86,0.84365803,0.113337725,0.20313646,0.08047329,870.0,-21.837204,0.1,870.0,0.1
87,0.84370804,0.11315456,0.20316435,0.081167966,880.0,-20.344538,0.1,880.0,0.1
88,0.8436497,0.11307567,0.20315309,0.08107254,890.0,-15.6946,0.2,890.0,0.0
89,0.843695,0.113221586,0.20312838,0.08208951,900.0,-18.10368,0.1,900.0,0.1
90,0.8436842,0.113206185,0.20311794,0.08214681,910.0,-24.121092,0.0,910.0,0.0
91,0.84322435,0.113816746,0.20303372,0.08255486,920.0,-15.07132,0.1,920.0,0.2
92,0.8431635,0.11368812,0.20302562,0.082864314,930.0,-23.358662,0.0,930.0,0.1
93,0.8432903,0.11363304,0.20308343,0.08325305,940.0,-22.929396,0.0,940.0,0.1
94,0.8432854,0.11370384,0.20308863,0.083181076,950.0,-16.840252,0.1,950.0,0.0
95,0.84319407,0.113600515,0.20306088,0.08316562,960.0,-22.856365,0.2,960.0,0.2
96,0.8430782,0.11352042,0.20301779,0.08351449,970.0,-23.657866,0.1,970.0,0.0
97,0.8429816,0.11461812,0.202993,0.08445153,980.0,-14.722773,0.4,980.0,0.1
98,0.84305364,0.11448338,0.20307009,0.08491006,990.0,-24.594065,0.0,990.0,0.0
99,0.8428592,0.114393204,0.20300974,0.08494932,1000.0,-17.206219,0.1,1000.0,0.0
100,0.84291834,0.11434656,0.20303217,0.08486451,1010.0,-19.436426,0.2,1010.0,0.3
101,0.8430254,0.11454257,0.20305187,0.08491302,1020.0,-22.809772,0.0,1020.0,0.1
102,0.84298635,0.11495272,0.20306459,0.08498211,1030.0,-20.599644,0.2,1030.0,0.1
103,0.8427782,0.11487302,0.20294273,0.08627494,1040.0,-16.456327,0.0,1040.0,0.3
104,0.8427296,0.114950836,0.2029174,0.08691124,1050.0,-15.707517,0.2,1050.0,0.0
105,0.84278136,0.115250446,0.20290367,0.0875586,1060.0,-23.337963,0.1,1060.0,0.1
106,0.84264916,0.115594804,0.20288044,0.08807619,1070.0,-15.66828,0.2,1070.0,0.1
107,0.8425949,0.1154314,0.20283583,0.08856375,1080.0,-17.921598,0.2,1080.0,0.1
108,0.84261304,0.115247905,0.20287666,0.08878088,1090.0,-24.159054,0.2,1090.0,0.1
109,0.8426898,0.11522742,0.20285457,0.089226276,1100.0,-15.246646,0.2,1100.0,0.2
110,0.84253854,0.11508238,0.20284651,0.08927367,1110.0,-19.216503,0.1,1110.0,0.1
111,0.8424131,0.11494833,0.2028294,0.08928383,1120.0,-17.424526,0.0,1120.0,0.1
112,0.84236026,0.11494124,0.20290184,0.08995602,1130.0,-22.239487,0.1,1130.0,0.1
113,0.84234494,0.11495257,0.202921,0.090397425,1140.0,-16.045727,0.4,1140.0,0.0
114,0.8423157,0.11500868,0.2028853,0.090795495,1150.0,-12.620962,0.3,1150.0,0.2
115,0.84219724,0.11614323,0.20286146,0.09149185,1160.0,-19.223751,0.1,1160.0,0.0
116,0.8420604,0.116055794,0.20281973,0.0915556,1170.0,-16.500223,0.1,1170.0,0.1
117,0.84201527,0.116018884,0.2028295,0.0920693,1180.0,-16.501423,0.1,1180.0,0.1
118,0.84197193,0.11606359,0.20281939,0.092111416,1190.0,-18.998966,0.1,1190.0,0.0
119,0.84194803,0.11603121,0.20284423,0.09263631,1200.0,-15.967249,0.1,1200.0,0.1
120,0.8419213,0.11612857,0.20287544,0.093102194,1210.0,-21.019476,0.3,1210.0,0.1
121,0.8420527,0.11594796,0.20292038,0.093190506,1220.0,-14.351031,0.0,1220.0,0.2
122,0.8418657,0.116442196,0.20287186,0.0935807,1230.0,-17.681341,0.2,1230.0,0.1
123,0.84183055,0.11649232,0.20285118,0.09362882,1240.0,-19.765303,0.3,1240.0,0.2
124,0.84194016,0.11647838,0.20288834,0.0935984,1250.0,-19.46739,0.1,1250.0,0.0
125,0.84174466,0.1175313,0.20286907,0.09403717,1260.0,-18.374203,0.0,1260.0,0.2
126,0.84173805,0.117492676,0.20286259,0.09446187,1270.0,-21.879955,0.0,1270.0,0.1
127,0.8416279,0.11737249,0.20286097,0.09495091,1280.0,-25.53587,0.2,1280.0,0.1
128,0.8416198,0.11740697,0.20283787,0.09494963,1290.0,-12.688379,0.3,1290.0,0.0
129,0.8416919,0.11729827,0.20287548,0.095106535,1300.0,-14.768213,0.0,1300.0,0.2
130,0.84164476,0.11778625,0.20285515,0.09610219,1310.0,-20.333548,0.2,1310.0,0.0
131,0.8416546,0.11772361,0.20282614,0.09656355,1320.0,-19.977238,0.1,1320.0,0.1
132,0.8415987,0.11783597,0.20283182,0.09676705,1330.0,-17.000698,0.2,1330.0,0.1
133,0.84167653,0.11817726,0.2028861,0.097097814,1340.0,-21.122488,0.2,1340.0,0.1
134,0.8416582,0.11858123,0.20287777,0.09722246,1350.0,-16.666256,0.0,1350.0,0.0
135,0.84162927,0.11939183,0.20287481,0.09756153,1360.0,-23.09603,0.2,1360.0,0.0
136,0.84171385,0.11936321,0.20289564,0.09770754,1370.0,-23.866863,0.1,1370.0,0.0
137,0.8416627,0.120121635,0.2029324,0.098202676,1380.0,-14.883534,0.4,1380.0,0.1
