# {"t_start": 1733579369.3844423, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,1.020962
-50.0,50,2.549794
-50.0,50,3.694866
-50.0,50,4.904608
-50.0,50,6.050532
-50.0,50,7.164915
-50.0,50,8.263803
-50.0,50,9.463408
-50.0,50,10.565287
-50.0,50,11.727203
-50.0,50,13.033783
-50.0,50,13.13418
-50.0,50,13.220491
-50.0,50,13.306297
-50.0,50,13.391702
-50.0,50,13.486541
-50.0,50,13.571814
-50.0,50,13.659491
-50.0,50,13.81736
-50.0,50,13.904233
-50.0,50,14.015396
-50.0,50,15.167865
-50.0,50,16.374334
-50.0,50,17.497963
-50.0,50,18.654228
-50.0,50,19.766955
-50.0,50,20.926147
-50.0,50,22.070269
-50.0,50,23.273051
-50.0,50,24.832536
-50.0,50,26.022707
-50.0,50,26.109328
-50.0,50,26.195891
-50.0,50,26.311802
-50.0,50,26.416676
-50.0,50,26.502231
-50.0,50,26.592439
-50.0,50,26.679994
-50.0,50,26.766988
-50.0,50,26.855291
-50.0,50,26.942394
-50.0,50,28.079056
-50.0,50,29.223269
-50.0,50,30.341991
-50.0,50,31.465531
-50.0,50,32.587194
-50.0,50,33.735763
-50.0,50,35.045234
0.0,50,36.182083
-50.0,50,37.310442
-50.0,50,38.460071
-50.0,50,38.567867
-50.0,50,38.654374
-50.0,50,38.741494
-50.0,50,38.827528
-50.0,50,38.917146
-50.0,50,39.009875
-50.0,50,39.097836
-50.0,50,39.18775
-50.0,50,39.272836
-50.0,50,39.357238
-50.0,50,40.481094
-50.0,50,41.656579
-50.0,50,42.922926
-50.0,50,44.050137
-50.0,50,45.190904
-50.0,50,46.308268
-50.0,50,47.443104
-50.0,50,48.667112
-50.0,50,49.99284
0.0,50,51.226705
-50.0,50,51.314556
-50.0,50,51.407214
-50.0,50,51.498559
-50.0,50,51.586904
-50.0,50,51.672744
-50.0,50,51.759301
-50.0,50,51.874756
-50.0,50,51.961476
-50.0,50,52.048887
-50.0,50,52.286069
-50.0,50,54.129757
-50.0,50,55.276695
-50.0,50,56.386991
-50.0,50,57.506044
-50.0,50,58.677736
-50.0,50,59.822587
-50.0,50,60.97409
-50.0,50,62.770858
-50.0,50,63.932856
-50.0,50,65.080642
-50.0,50,65.165929
-50.0,50,65.252487
-50.0,50,65.338339
-50.0,50,65.423272
0.0,50,65.507418
-50.0,50,65.594167
-50.0,50,65.681395
-50.0,50,65.768227
-50.0,50,65.852268
-50.0,50,65.934889
-50.0,50,67.083656
-50.0,50,68.376275
-50.0,50,69.504598
-50.0,50,70.789251
-50.0,50,72.188025
-50.0,50,73.86366
-50.0,50,75.269946
-50.0,50,76.764611
-50.0,50,78.16432
-50.0,50,80.86788
-50.0,50,80.990072
-50.0,50,81.110291
-50.0,50,81.219296
-50.0,50,81.320374
-50.0,50,81.45155
-50.0,50,81.5611
-50.0,50,81.656862
-50.0,50,81.827836
-50.0,50,82.111145
-50.0,50,82.210806
-50.0,50,83.735921
-50.0,50,85.095786
-50.0,50,87.316448
-50.0,50,88.990912
0.0,50,90.397986
-50.0,50,91.785406
-50.0,50,93.131601
-50.0,50,94.54376
-50.0,50,95.987922
-50.0,50,97.34391
-50.0,50,97.463901
-50.0,50,97.588237
-50.0,50,97.713745
-50.0,50,97.836475
-50.0,50,97.929171
-50.0,50,98.031876
0.0,50,98.139649
-50.0,50,98.234779
-50.0,50,98.328067
-50.0,50,98.412827
-50.0,50,99.769617
-50.0,50,101.082024
0.0,50,102.390586
-50.0,50,103.696733
-50.0,50,105.008204
-50.0,50,106.316078
-50.0,50,107.653816
-50.0,50,108.9958
-50.0,50,110.322333
-50.0,50,111.649708
-50.0,50,111.757871
-50.0,50,111.852365
-50.0,50,111.944313
-50.0,50,112.044479
-50.0,50,112.134353
-50.0,50,112.223833
-50.0,50,112.315243
-50.0,50,112.404212
-50.0,50,112.494195
-50.0,50,112.584167
-50.0,50,113.869507
-50.0,50,115.184366
-50.0,50,116.410575
-50.0,50,117.622648
-50.0,50,118.815764
-50.0,50,120.048146
-50.0,50,121.25139
-50.0,50,122.471842
-50.0,50,124.353284
-50.0,50,125.50363
-50.0,50,125.592866
-50.0,50,125.677366
-50.0,50,125.763095
-50.0,50,125.848752
-50.0,50,125.934652
0.0,50,126.02475
-50.0,50,126.123724
-50.0,50,126.212194
-50.0,50,126.300891
-50.0,50,126.384158
-50.0,50,127.513916
-50.0,50,128.733159
-50.0,50,130.287269
-50.0,50,131.410127
-50.0,50,132.541662
-50.0,50,133.669279
-50.0,50,134.875857
-50.0,50,136.001036
-50.0,50,137.130015
-50.0,50,138.281809
-50.0,50,138.367156
0.0,50,138.454391
-50.0,50,138.561605
-50.0,50,138.6465
-50.0,50,138.732169
-50.0,50,138.820119
-50.0,50,138.907959
-50.0,50,138.998431
-50.0,50,139.084467
-50.0,50,139.171326
-50.0,50,140.324325
-50.0,50,141.678723
-50.0,50,143.058867
-50.0,50,144.441709
-50.0,50,145.845093
-50.0,50,147.249842
-50.0,50,148.652126
