epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8453004,0.09763116,0.20268522,0.07185799,10.0,-1.1973699,0.0,10.0,0.0
1,0.8427444,0.10927618,0.2015079,0.06601419,20.0,-1.6634076,0.0,20.0,0.0
2,0.84010357,0.1078377,0.20096473,0.06437735,30.0,-2.087103,0.0,30.0,0.1
3,0.8415745,0.10708898,0.20185225,0.063901864,40.0,-2.0843449,0.1,40.0,0.0
4,0.843457,0.10864227,0.20249851,0.06268539,50.0,-2.34965,0.1,50.0,0.0
5,0.84392023,0.111141525,0.20281626,0.061955724,60.0,-3.6457,0.0,60.0,0.0
6,0.84350747,0.10946635,0.20281368,0.060476188,70.0,-3.6104724,0.1,70.0,0.1
7,0.84425783,0.10893545,0.20307845,0.059958745,80.0,-4.643241,0.0,80.0,0.1
8,0.8446205,0.109636426,0.20303132,0.059318718,90.0,-4.0357184,0.1,90.0,0.0
9,0.8442175,0.10868714,0.2029585,0.05854906,100.0,-4.515759,0.1,100.0,0.0
10,0.8434358,0.10939615,0.20286049,0.05804616,110.0,-5.621238,0.0,110.0,0.0
11,0.8425808,0.10976613,0.20267153,0.057506274,120.0,-6.150653,0.0,120.0,0.1
12,0.8420184,0.110160075,0.20285797,0.063509755,130.0,-6.2104616,0.0,130.0,0.0
13,0.8418796,0.10931044,0.20270053,0.06704119,140.0,-6.6361527,0.0,140.0,0.2
14,0.8421576,0.10926183,0.20274808,0.06645434,150.0,-6.589259,0.1,150.0,0.0
15,0.84190756,0.10879057,0.20270531,0.065848544,160.0,-6.862367,0.0,160.0,0.1
16,0.8414524,0.108353846,0.20275207,0.06707671,170.0,-7.581126,0.0,170.0,0.0
17,0.84273416,0.1081867,0.20312876,0.06646389,180.0,-7.9469314,0.0,180.0,0.0
18,0.84290296,0.10890602,0.20317549,0.06612421,190.0,-8.227653,0.0,190.0,0.0
19,0.8436535,0.10851353,0.20347138,0.06573978,200.0,-7.29923,0.2,200.0,0.0
20,0.84365827,0.10807285,0.20352179,0.06540388,210.0,-7.442342,0.0,210.0,0.1
21,0.8435144,0.10776598,0.20348312,0.06517506,220.0,-9.042975,0.0,220.0,0.0
22,0.84323096,0.10726597,0.20342158,0.06510752,230.0,-10.289257,0.0,230.0,0.0
23,0.8436527,0.10784971,0.2034763,0.064831935,240.0,-8.798709,0.0,240.0,0.0
24,0.84344095,0.10770219,0.20343271,0.064581364,250.0,-10.542664,0.0,250.0,0.1
25,0.8437608,0.108109616,0.20352396,0.064258106,260.0,-9.214205,0.1,260.0,0.1
26,0.84346145,0.10814503,0.20349114,0.06555481,270.0,-12.2117195,0.0,270.0,0.0
27,0.84306055,0.107998826,0.20338015,0.06538223,280.0,-9.472446,0.1,280.0,0.0
28,0.8432768,0.108199485,0.20339093,0.06594337,290.0,-10.995403,0.1,290.0,0.0
29,0.84297615,0.10828174,0.20329666,0.06561039,300.0,-10.690251,0.1,300.0,0.1
30,0.8424599,0.10871639,0.20317298,0.065918386,310.0,-9.86909,0.1,310.0,0.0
31,0.84246176,0.108579576,0.20318462,0.0656955,320.0,-11.178136,0.1,320.0,0.1
32,0.8422707,0.10802642,0.20317563,0.0654693,330.0,-11.120696,0.0,330.0,0.1
33,0.84191555,0.10912176,0.20310234,0.066563316,340.0,-12.250616,0.1,340.0,0.0
34,0.8416877,0.10888839,0.20309187,0.066379845,350.0,-10.785043,0.1,350.0,0.1
35,0.8416898,0.1088529,0.20312336,0.066142485,360.0,-13.214058,0.0,360.0,0.0
36,0.8422101,0.108716786,0.20330444,0.06617949,370.0,-11.9841385,0.2,370.0,0.0
37,0.8425064,0.10891732,0.20336455,0.06627442,380.0,-14.198558,0.0,380.0,0.0
38,0.8422949,0.10893967,0.2032979,0.06605457,390.0,-12.605024,0.1,390.0,0.0
39,0.84215146,0.1101689,0.20325236,0.066652715,400.0,-14.01962,0.1,400.0,0.1
40,0.84246975,0.11052332,0.2033551,0.06779419,410.0,-11.249185,0.2,410.0,0.0
41,0.8421628,0.11038218,0.20326197,0.06764066,420.0,-13.771953,0.0,420.0,0.1
42,0.84227014,0.11024618,0.2032825,0.06747155,430.0,-14.068461,0.0,430.0,0.0
43,0.84231716,0.109827764,0.2033242,0.06726388,440.0,-16.242283,0.0,440.0,0.0
44,0.84238225,0.11024323,0.20329328,0.06762496,450.0,-16.385706,0.0,450.0,0.0
45,0.8424539,0.11030034,0.20330231,0.067515686,460.0,-16.32816,0.1,460.0,0.0
46,0.8421708,0.111187525,0.20321964,0.06848547,470.0,-13.813504,0.0,470.0,0.0
47,0.8422243,0.111239195,0.20318586,0.06822578,480.0,-14.080896,0.1,480.0,0.0
48,0.84213114,0.11127809,0.20312084,0.068487555,490.0,-15.631834,0.0,490.0,0.1
49,0.84250504,0.11122405,0.20321882,0.068335235,500.0,-16.137165,0.0,500.0,0.0
50,0.8425174,0.11114206,0.20323421,0.06852381,510.0,-18.330786,0.0,510.0,0.0
51,0.84249,0.11097729,0.20324081,0.06835618,520.0,-17.674667,0.0,520.0,0.0
52,0.8426178,0.11084632,0.20329493,0.068647966,530.0,-18.67162,0.0,530.0,0.1
53,0.84265137,0.110663414,0.20331722,0.06901259,540.0,-15.47423,0.1,540.0,0.1
54,0.84264326,0.1110803,0.20339835,0.06971957,550.0,-17.600353,0.0,550.0,0.0
55,0.84308726,0.11126856,0.20350438,0.06956348,560.0,-18.879303,0.1,560.0,0.1
56,0.84336346,0.111188434,0.20364627,0.0703815,570.0,-19.936014,0.0,570.0,0.2
57,0.8434016,0.11151325,0.20363754,0.07029897,580.0,-17.632074,0.1,580.0,0.2
58,0.84324497,0.111540854,0.2036457,0.072210945,590.0,-17.09914,0.0,590.0,0.0
59,0.84325343,0.11169834,0.20364827,0.07203951,600.0,-13.200958,0.0,600.0,0.1
60,0.84314346,0.11147156,0.20361654,0.07371482,610.0,-19.981518,0.0,610.0,0.1
61,0.84326416,0.11203998,0.20364946,0.07453908,620.0,-20.012835,0.0,620.0,0.0
