# {"t_start": 1745263611.6502566, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,1.015233
0.0,50,3.158176
-50.0,50,4.430679
-50.0,50,5.508119
-50.0,50,6.532602
-50.0,50,7.554129
-50.0,50,8.558121
-50.0,50,9.558488
-50.0,50,10.673565
-50.0,50,11.662404
-50.0,50,12.818599
-50.0,50,12.90393
-50.0,50,12.990481
-50.0,50,13.079228
-50.0,50,13.165797
-50.0,50,13.248109
-50.0,50,13.33164
-50.0,50,13.419647
-50.0,50,13.50319
-50.0,50,13.582439
-50.0,50,13.68165
-50.0,50,14.677658
-50.0,50,15.674015
-50.0,50,16.681086
-50.0,50,17.726578
-50.0,50,18.739706
-50.0,50,19.797987
-50.0,50,20.910796
-50.0,50,21.988515
-50.0,50,23.037515
-50.0,50,24.093695
-50.0,50,24.173691
-50.0,50,24.253695
-50.0,50,24.331873
0.0,50,24.409251
-50.0,50,24.497213
-50.0,50,24.576479
-50.0,50,24.656026
-50.0,50,24.744552
-50.0,50,24.824757
-50.0,50,24.908152
-50.0,50,26.015676
-50.0,50,27.367086
-50.0,50,28.948048
-50.0,50,30.002515
-50.0,50,31.064236
-50.0,50,32.259195
0.0,50,33.352354
-50.0,50,34.455266
-50.0,50,35.51475
-50.0,50,36.57599
-50.0,50,36.660358
-50.0,50,36.738789
-50.0,50,36.820525
-50.0,50,36.902279
-50.0,50,36.984011
-50.0,50,37.064437
0.0,50,37.159078
-50.0,50,37.251654
-50.0,50,37.330405
-50.0,50,37.406595
-50.0,50,38.516582
-50.0,50,40.085216
-50.0,50,41.171845
-50.0,50,42.236331
0.0,50,43.313643
-50.0,50,44.404362
-50.0,50,46.401057
-50.0,50,47.799829
-50.0,50,49.192187
-50.0,50,50.610249
-50.0,50,50.719781
-50.0,50,50.826967
-50.0,50,50.934452
-50.0,50,51.044813
-50.0,50,51.157429
-50.0,50,51.274431
-50.0,50,51.380855
-50.0,50,51.486319
-50.0,50,51.597969
-50.0,50,51.690551
-50.0,50,53.221236
-50.0,50,55.61159
-50.0,50,57.323296
-50.0,50,58.750566
-50.0,50,60.162928
-50.0,50,61.479854
-50.0,50,62.872589
-50.0,50,64.361871
-50.0,50,65.816227
-50.0,50,67.24272
-50.0,50,67.368037
-50.0,50,67.465693
-50.0,50,67.57055
-50.0,50,67.670515
-50.0,50,67.764889
-50.0,50,67.87404
-50.0,50,67.967894
-50.0,50,68.071818
-50.0,50,68.177919
-50.0,50,68.27305
-50.0,50,70.120963
-50.0,50,71.505556
-50.0,50,72.891241
-50.0,50,74.272777
-50.0,50,75.646321
-50.0,50,77.05198
-50.0,50,78.4338
-50.0,50,79.808066
-50.0,50,81.154157
-50.0,50,82.527521
-50.0,50,82.624684
-50.0,50,82.720874
-50.0,50,82.814856
-50.0,50,82.904968
-50.0,50,83.028659
-50.0,50,83.248981
-50.0,50,83.446302
-50.0,50,83.635056
-50.0,50,83.77192
-50.0,50,83.884619
-50.0,50,86.251989
-50.0,50,87.741615
-50.0,50,89.783072
-50.0,50,91.264403
-50.0,50,92.77783
-50.0,50,94.287179
-50.0,50,95.821053
-50.0,50,97.29052
-50.0,50,99.277599
-50.0,50,102.58767
-50.0,50,102.714012
-50.0,50,102.840466
-50.0,50,102.985929
-50.0,50,103.213483
-50.0,50,103.35709
-50.0,50,103.488595
-50.0,50,103.604964
0.0,50,103.715662
-50.0,50,103.832919
-50.0,50,103.950244
-50.0,50,105.575652
-50.0,50,107.00631
-50.0,50,108.487798
-50.0,50,110.139253
-50.0,50,111.628
-50.0,50,113.070365
-50.0,50,114.845983
-50.0,50,116.425935
-50.0,50,118.008081
-50.0,50,119.525282
-50.0,50,119.63125
-50.0,50,119.738929
-50.0,50,119.842646
-50.0,50,119.937253
0.0,50,120.031093
-50.0,50,120.125183
