epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8496764,0.10713341,0.20613536,0.050474763,10.0,-1.04721,0.0,10.0,0.1
1,0.85308105,0.108770676,0.20545907,0.05182603,20.0,-1.3735665,0.1,20.0,0.0
2,0.85152584,0.10969735,0.20507567,0.05567924,30.0,-1.6034412,0.1,30.0,0.1
3,0.8512142,0.10787585,0.20506191,0.061102778,40.0,-2.5940955,0.0,40.0,0.1
4,0.8480704,0.10774639,0.20418158,0.059470415,50.0,-2.207127,0.0,50.0,0.0
5,0.84600496,0.106953524,0.20384517,0.05826914,60.0,-3.1298003,0.0,60.0,0.0
6,0.846044,0.10690246,0.20383932,0.057981666,70.0,-3.4256566,0.1,70.0,0.0
7,0.84647495,0.10699406,0.20392029,0.057692863,80.0,-3.464473,0.1,80.0,0.0
8,0.84613395,0.10534582,0.20393765,0.05681406,90.0,-4.31679,0.0,90.0,0.0
9,0.84523183,0.106574915,0.20355849,0.056397263,100.0,-4.6579585,0.0,100.0,0.1
10,0.8460538,0.1083197,0.20366561,0.056019835,110.0,-4.439599,0.0,110.0,0.1
11,0.84473324,0.10870562,0.20325363,0.05576839,120.0,-6.0243654,0.0,120.0,0.0
12,0.84454983,0.10996842,0.2031239,0.05593785,130.0,-5.55516,0.0,130.0,0.1
13,0.8450373,0.1118007,0.20317909,0.05839633,140.0,-6.6197343,0.0,140.0,0.0
14,0.84412,0.11137169,0.2029368,0.058085788,150.0,-5.16109,0.0,150.0,0.1
15,0.84425884,0.11107091,0.20295483,0.057752766,160.0,-7.126386,0.0,160.0,0.1
16,0.8439698,0.11036718,0.20303953,0.05752858,170.0,-6.9649935,0.0,170.0,0.0
17,0.8440959,0.110289276,0.20294674,0.05713543,180.0,-8.448107,0.0,180.0,0.1
18,0.84451914,0.10963035,0.20313124,0.057052463,190.0,-6.463524,0.1,190.0,0.1
19,0.84419256,0.11291916,0.20300686,0.05862418,200.0,-8.984812,0.0,200.0,0.0
20,0.84389615,0.11570662,0.20304543,0.060638297,210.0,-7.9768233,0.0,210.0,0.0
21,0.84346104,0.11513337,0.20294511,0.060594786,220.0,-7.4866495,0.2,220.0,0.1
22,0.84334797,0.114570506,0.2029097,0.060391575,230.0,-10.045372,0.0,230.0,0.0
23,0.843671,0.114994206,0.20294592,0.06039589,240.0,-9.45456,0.0,240.0,0.0
24,0.8423035,0.11634696,0.2026242,0.06119267,250.0,-10.623631,0.0,250.0,0.0
25,0.8428226,0.116804995,0.20272699,0.061018616,260.0,-10.024597,0.0,260.0,0.1
26,0.8424203,0.11607645,0.20263475,0.06087999,270.0,-11.098151,0.0,270.0,0.0
27,0.84282726,0.115727164,0.20272985,0.0606475,280.0,-10.597344,0.0,280.0,0.0
28,0.84281236,0.11564139,0.20269112,0.06186322,290.0,-10.207289,0.1,290.0,0.0
29,0.8424193,0.11556828,0.20257671,0.061684188,300.0,-10.940836,0.0,300.0,0.0
30,0.84232235,0.11550713,0.20253676,0.06170095,310.0,-11.23974,0.0,310.0,0.1
31,0.8423572,0.11521258,0.20255545,0.061510447,320.0,-10.272074,0.0,320.0,0.1
32,0.84241295,0.11502447,0.20262206,0.06137936,330.0,-11.244979,0.0,330.0,0.0
33,0.84218675,0.11476535,0.20254743,0.061312098,340.0,-12.022475,0.0,340.0,0.1
34,0.842014,0.11452132,0.20248279,0.061238404,350.0,-12.344728,0.0,350.0,0.0
35,0.8419311,0.1144496,0.20238216,0.06259718,360.0,-12.352957,0.0,360.0,0.0
36,0.84175295,0.11419768,0.2023633,0.06258564,370.0,-13.783773,0.0,370.0,0.0
37,0.84223795,0.11416739,0.20247304,0.06260952,380.0,-13.842773,0.0,380.0,0.1
38,0.84206074,0.114135295,0.20245512,0.062800504,390.0,-13.677603,0.0,390.0,0.0
39,0.8421325,0.11370912,0.20250131,0.062683575,400.0,-14.861659,0.0,400.0,0.1
40,0.8422969,0.11446912,0.20264582,0.06615173,410.0,-14.573389,0.0,410.0,0.0
41,0.8424538,0.114817314,0.20267448,0.06597952,420.0,-14.000745,0.0,420.0,0.0
42,0.8427054,0.11472087,0.20279354,0.06602118,430.0,-16.00155,0.0,430.0,0.0
43,0.842809,0.11439994,0.20282705,0.066025645,440.0,-12.687498,0.0,440.0,0.0
44,0.8429143,0.114116065,0.20286286,0.065818936,450.0,-11.637713,0.0,450.0,0.0
45,0.8431471,0.11424481,0.2028836,0.065657586,460.0,-16.14548,0.0,460.0,0.1
46,0.84266096,0.11392497,0.2027411,0.06551605,470.0,-17.131344,0.0,470.0,0.0
47,0.8427549,0.1136115,0.20278497,0.065433666,480.0,-16.041842,0.0,480.0,0.0
48,0.8428827,0.11315245,0.20288861,0.06628676,490.0,-18.31869,0.0,490.0,0.1
49,0.84305614,0.11292529,0.20297103,0.06617764,500.0,-17.290628,0.0,500.0,0.1
50,0.8429796,0.113463335,0.20295027,0.06653307,510.0,-14.273537,0.1,510.0,0.1
51,0.8427469,0.11400475,0.20290042,0.06810076,520.0,-17.77739,0.0,520.0,0.1
